hotel_names,hotel_ratings,hotel_price,hotel_neighbourhoods,hotel_reviews,hotel_type
The Hoxton - Shoreditch,4.5,££,Liverpool Street / Broadgate,187,HotelsVenues & Event Spaces
London Marriott Hotel Park Lane,4.5,£££,Mayfair,45,HotelsVenues & Event Spaces
DoubleTree by Hilton Hotel London - Hyde Park,4,££,Notting Hill,35,Hotels
Savoy Hotel,4.5,££££,Strand,96,Hotels
The Z Hotel Piccadilly,4.5,££,Trafalgar Square,11,Hotels
The Ritz London,4,££££,St James's,205,Hotels
The Soho Hotel,4,£££,Soho,51,Hotels
Hotel 41,5,££££,Westminster,29,Hotels
Kimpton Fitzroy London,4.5,£££,Bloomsbury,10,Hotels
Hub Premier Inn,4.5,£,Westminster,11,Hotels
The Kensington Hotel,4.5,£££,South Kensington,46,Hotels
The Fielding,4.5,££,Covent Garden,8,Hotels
"The Hoxton, Holborn",4,££,Covent Garden,45,Hotels
London Marriott Hotel County Hall,4,£££,Southwark,107,Hotels
Conrad London St. James,4.5,£££,Westminster,70,Hotels
The Dorchester,4.5,££££,Mayfair,117,Hotels
CitizenM Hotel,4.5,££,Southwark,79,Hotels
Claridge’s,4.5,££££,Mayfair,110,Hotels
The London EDITION,4.5,£££,Fitzrovia,46,Hotels
St. Pancras Renaissance Hotel London,4,£££,King's Cross,82,HotelsVenues & Event Spaces
The Langham London,4.5,££££,Marylebone,76,Hotels
The Landmark London,4.5,££££,Marylebone,61,Hotels
Ham Yard Hotel,4.5,£££,Soho,30,Hotels
K+K Hotel George,4.5,££,Earls Court,54,Hotels
Mimi’s Hotel Soho,4,££,Soho,9,Hotels
Crescent Hotel,4.5,£,Bloomsbury,6,Hotels
Sofitel,4.5,£££,St James's,49,Hotels
JW Marriott Grosvenor House London,4,£££,Mayfair,109,HotelsVenues & Event Spaces
Afternoon Tea at The Montague on The Gardens,4.5,£££,Bloomsbury,58,Hotels
London Marriott Hotel Regents Park,3.5,££,Belsize Park,35,Hotels
Four Seasons Hotel,4.5,££££,Mayfair,29,Hotels
Shangri La Hotel,4.5,££££,London Bridge,32,Hotels
The W14 Kensington,4,£,West Kensington,10,Hotels
The Ampersand Hotel,4.5,£££,South Kensington,47,Hotels
Hotel Chocolat,4.5,££,Covent Garden,58,Chocolatiers & ShopsCoffee & Tea
Hotel Indigo,4.5,££,Paddington,33,Hotels
Yotel,4,££,Heathrow,41,Hotels
Hotel Indigo,4.5,,Leicester Square,2,HotelsLeicester Square
Morgan Hotel,5,££,Bloomsbury,2,Hotels
The Kensington Gardens Hotel,4.5,£,Bayswater,2,HotelsBed & Breakfast
Holiday Inn London Camden Lock,4,£££,Camden Town,16,Hotels
69TheGrove,5,,Oval,2,Bed & BreakfastOval
The Cavendish,4.5,£££,St James's,34,Hotels
Club Quarters,4,££,Westminster,43,Hotels
W London- Leicester Square,3,£££,Leicester Square,114,Hotels
The Connaught,4.5,££££,Mayfair,32,Hotels
Andaz London Liverpool Street,4.5,£££,Liverpool Street / Broadgate,88,Hotels
Corinthia Hotel London,4.5,££££,Westminster,67,Hotels
The Royal Horseguards Hotel,4,£££,Westminster,78,Hotels
The Nadler Soho,4.5,£££,Soho,19,Hotels
DoubleTree by Hilton Hotel London - Tower of London,4,£££,Aldgate,72,Hotels
Rosewood London,4,££££,Holborn,37,Hotels
"Hotel Xenia, Autograph Collection",4.5,££,Kensington,28,Hotels
The Bailey’s Hotel London,3.5,££,South Kensington,45,Hotels
Hub By Premier Inn,4,££,Strand,8,Hotels
"St. Ermin’s Hotel, Autograph Collection",4,£££,Westminster,124,HotelsVenues & Event Spaces
Hyatt Regency London - The Churchill,4.5,£££,Marylebone,70,Hotels
"The Waldorf Hilton, London",3.5,£££,Strand,101,Hotels
The Nadler Kensington,4.5,££,South Kensington,36,Hotels
The Hoxton,5,,Southwark,2,HotelsSouthwark
"The Trafalgar St. James, Curio Collection by Hilton",3.5,£££,St James's,52,Hotels
Hilton London Hyde Park,3,££,Bayswater,38,Hotels
The Shaftesbury,4,,Soho,1,PubsBritishHotelsSoho
The Lanesborough,4.5,££££,Belgravia,47,Hotels
Hub by Premier Inn,4.5,,King's Cross,4,HotelsKing's Cross
"The Westminster London, Curio Collection by Hilton",4,,Westminster,1,HotelsWestminster
Holiday Inn London - Kensington,2.5,£££,Kensington,74,Hotels
Hilton London Paddington,3,£££,Paddington,98,HotelsVenues & Event Spaces
The Marylebone Hotel,4,£££,Marylebone,35,Hotels
The Sumner Hotel,4,££,Marylebone,11,Hotels
Henrietta,4,,Strand,5,HotelsStrand
Mandarin Oriental,4.5,££££,Hyde Park,36,Hotels
The Grand at Trafalgar Square,4,££,Westminster,97,Hotels
The Rookery,4,£££,Farringdon,11,Hotels
Mile End Hotel,5,,Mile End / Globe Town,1,HotelsMile End / Globe Town
The Beaumont,4.5,£££,Mayfair,8,Hotels
LSE High Holborn Residence,4,£,Covent Garden,8,Hotels
Travelodge,3,£,Liverpool Street / Broadgate,18,Hotels
Limetree Hotel,4,££,Belgravia,14,Hotels
London Marriott Hotel Marble Arch,3,£££,Marylebone,47,Hotels
Great Scotland Yard Hotel,4,,Westminster,5,HotelsWestminster
THE CHESTERFIELD MAYFAIR,4.5,£££,Mayfair,58,Hotels
Residence Inn by Marriott,4,££,Borough,13,Hotels
Sanctum Soho,3.5,£££,Soho,23,Hotels
Hilton London Bankside,4.5,£££,Southwark,24,Hotels
The Athenaeum Hotel,4,£££,Mayfair,53,Hotels
Bankside Hotel,5,,Southwark,9,HotelsSouthwark
H10 Hotel,4.5,££,Southwark,31,Hotels
Citadines St Mark’s London,4,£££,Barbican,6,Hotels
Charlies Hotel,4,£,Holloway,2,HotelsBed & Breakfast
Charlies Hotel,4,£,Holloway,2,HotelsBed & Breakfast
Citadines St Mark’s London,4,£££,Barbican,6,Hotels
The Stafford London,5,££££,St James's,8,Hotels
Four Seasons Hotel,3.5,££££,Tower Hill,5,Hotels
DORSETT,4,££,Shepherd's Bush,24,Hotels
Hilton London Tower Bridge,4,£££,London Bridge,47,Hotels
Leonardo Royal Hotel London Tower Bridge,4,,Whitechapel,5,HotelsWhitechapel
St. James’s,4.5,££££,St James's,15,Hotels
Cote Marylebone,5,£££,Marylebone,1,Hotels
citizenM Tower of London,4,££,Tower Hill,27,Hotels
Camden Lock Hotel,2.5,££,Chalk Farm,7,Hotels
The California,3.5,£,Bloomsbury,9,Hotels
London Marriott Hotel Kensington,3,£££,South Kensington,24,Hotels
The Bloomsbury Hotel,4,££££,Bloomsbury,41,Hotels
The Caesar Hotel 4,4,££,Bayswater,22,Hotels
Sea Containers London,5,,South Bank,4,HotelsSouth Bank
The Goring,4.5,££££,Victoria,35,Hotels
Country Inns & Suites,1.5,£££,Bloomsbury,5,Hotels
Mercure London Hyde Park Hotel,5,,Paddington,1,HotelsPaddington
"The Standard, London",4.5,,Bloomsbury,4,HotelsBloomsbury
40 Winks,4.5,£££,Stepney,3,HotelsVenues & Event Spaces
Haverstock Hotel,5,,Belsize Park,1,HotelsBelsize Park
Hilton Garden Inn London Heathrow Terminals 2 and 3,4,,Heathrow,15,HotelsHeathrow
Sheraton Grand London Park Lane,3.5,£££,Green Park,108,Hotels
Hazlitts Hotels,4.5,£££,Soho,28,Hotels
myhotel,4,££,Chelsea,10,Hotels
DoubleTree by Hilton Hotel London - Docklands Riverside,3,£££,Rotherhithe,8,Hotels
Sanderson Hotel,4,£££,Fitzrovia,107,Hotels
Seven Dials Hotel,4,,Covent Garden,6,Bed & BreakfastCovent Garden
Premier Inn,4,,Bloomsbury,2,HotelsBloomsbury
11 Cadogan Gardens,4.5,££,Chelsea,11,Hotels
Royal Lancaster London,4,££,Bayswater,43,Hotels
Comfort Inn King Cross,2.5,££,Bloomsbury,13,Hotels
De Vere Grand Connaught Rooms,4,,Covent Garden,5,Venues & Event SpacesHotelsCovent Garden
London Marriott Hotel Canary Wharf,4,£££,Poplar,30,HotelsVenues & Event Spaces
​M by Montcalm Shoreditch,2.5,£££,Islington,12,Hotels
Travelodge,4,£,Bloomsbury,5,Hotels
Hilton London Metropole,3,£££,Paddington,141,Hotels
Blair Victoria,1,£,Pimlico,5,HotelsBed & Breakfast
The Pilgrm,5,,Paddington,2,HotelsPaddington
Avo Hotel,5,££,Dalston,2,Hotels
Dawson House Hotel,4,,West Hampstead,1,HotelsBed & BreakfastWest Hampstead
Park Plaza Westminster Bridge London,3.5,£££,Southwark,138,HotelsVenues & Event Spaces
Hilton London Wembley,3,£££,Wembley,14,Hotels
Bulgari Hotel - London,4.5,££££,Knightsbridge,10,HotelsVenues & Event Spaces
Charlotte Street Hotel,4,£££,Fitzrovia,31,Hotels
The Penn Club,4.5,££,Bloomsbury,2,Hotels
Hampton By Hilton London Waterloo,3.5,££,Southwark,29,Hotels
Me,4,£££,Strand,35,Hotels
The Piccadilly London West End,2.5,£££,Soho,5,Hotels
"Great Northern Hotel, a Tribute Portfolio Hotel, London",4.5,£££,King's Cross,25,Hotels
Hotel Montana,4,£,Bloomsbury,4,HotelsBed & Breakfast
Holiday Inn,3,££,Marylebone,13,Hotels
The Draycott,5,£££,Chelsea,4,Hotels
The Berkeley,4.5,££££,Belgravia,44,Hotels
Piccadilly Hotel,2.5,£,Soho,11,Hotels
Park Plaza London Riverbank,4,£££,Vauxhall,54,HotelsVenues & Event Spaces
Radisson Blu Edwardian Hampshire,4,£££,Leicester Square,23,Hotels
Dukes Hotel,4.5,££££,St James's,54,Hotels
InterContinental London - The O2,4.5,£££,Greenwich,20,Hotels
Best Western London Highbury,3,££,Finsbury Park,1,Hotels
Number Sixteen,4,££££,South Kensington,12,Hotels
Treehouse Hotel London,,,Fitzrovia,,HotelsVenues & Event SpacesFitzrovia
.Kip,5,££,Hackney Central,4,Hotels
Plaza On the River Hotel,3.5,£££,Westminster,6,Hotels
The May Fair Hotel,3.5,£££,Mayfair,72,HotelsDay SpasGyms
Thistle,4,££,Bloomsbury,3,Hotels
Kandara Guest House,4,££,De Beauvoir,1,Guest HousesHotels
The Dixon,4,,Shad Thames,14,HotelsShad Thames
Regency House Hotel,3.5,££,Bloomsbury,4,Hotels
Copthorne Tara Hotel London Kensington,2.5,£££,Kensington,75,Hotels
DoubleTree By Hilton Hotel London - Victoria,3.5,£££,Victoria,42,Hotels
St Giles,2.5,££,Bloomsbury,49,Hotels
Brown’s Hotel,4,£££,Mayfair,64,Hotels
Residence Inn by Marriott London Kensington,3,££,West Kensington,19,HotelsVenues & Event Spaces
The Holmes Hotel,3.5,££,Marylebone,19,HotelsVenues & Event Spaces
Harlingford Hotel,4,££,Bloomsbury,15,HotelsBed & Breakfast
Hotel Indigo,4.5,££,South Kensington,28,Hotels
Dean Street Townhouse,4,£££,Soho,138,Hotels
Strand Palace,3,££,Strand,100,Hotels
Hotel Indigo,4.5,££,Aldgate,24,Hotels
Hampstead Village Guest House,3.5,£££,Hampstead Village,3,Guest HousesHotelsBed & Breakfast
Travelodge,4,,Highgate,1,HotelsHighgate
Sofitel London Heathrow,4,£££,Heathrow,96,Hotels
Seven Dials Hotel,4,,Covent Garden,6,Bed & BreakfastCovent Garden
100 Queen’s Gate,3,,South Kensington,5,HotelsSouth Kensington
"The Capital Hotel, Apartments and Townhouse",4.5,£££,Chelsea,17,HotelsBed & Breakfast
Holiday Inn Express Hotel London-Swiss Cottage,3.5,£££,Swiss Cottage,14,HotelsVenues & Event Spaces
Z Hotels,1,,Strand,1,HotelsStrand
Nobu Hotel Shoreditch,4,££££,Liverpool Street / Broadgate,11,Hotels
Royal Eagle,2.5,££,Bayswater,10,Hotels
Premier Travel Inn,2,£££,Belsize Park,1,Hotels
Mad Hatter Hotel,3.5,££,Southwark,29,Hotels
Premier inn,3,££,Chinatown,4,Hotels
One Aldwych,4,£££,Strand,50,Hotels
Radisson Blu Edwardian Bloomsbury Street,4,£££,Bloomsbury,21,Hotels
Ridgemount Hotel,4,££,Bloomsbury,10,Hotels
Amba Hotel Charing Cross,4.5,£££,Strand,36,Hotels
Taj,5,£££,Westminster,8,Hotels
Novotel - Canary Wharf,4.5,££,Isle of Dogs,7,Hotels
Pullman Hotel,4,£££,Euston,28,Hotels
Sheraton Towers Hotel,4.5,,Knightsbridge,2,HotelsKnightsbridge
Grenville House Hotel,,,Bloomsbury,,HotelsBed & BreakfastBloomsbury
London Marriott Hotel Grosvenor Square,4,£££,Mayfair,54,HotelsVenues & Event Spaces
Darlington Hyde Park,4,££,Paddington,9,Hotels
St Martins Lane Hotel,4,£££,Covent Garden,76,Hotels
Assembly London,3,,Leicester Square,2,HotelsLeicester Square
The Enterprise Hotel,4.5,££,Chalk Farm,3,Hotels
Citadines Trafalgar Square London,3.5,££,Strand,27,Hotels
The Highbury Centre,4,,Highbury,2,Guest HousesHighbury
Gower House Hotel,3,£,Bloomsbury,3,HotelsBed & Breakfast
Ibis London Docklands London Docklands,3.5,££,West India Docks,3,Hotels
"St. James’ Court, A Taj Hotel",4,£££,Westminster,49,Hotels
Tune Hotel,3,£,Spitalfields,13,Hotels
Bluebells and Seashells,,,Highbury,,Travel ServicesHotelsBed & BreakfastHighbury
The Montcalm Brewery London City,4,£££,Liverpool Street / Broadgate,25,Hotels
"Hart Shoreditch Hotel London, Curio Collection by Hilton",5,,Liverpool Street / Broadgate,1,HotelsLiverpool Street / Broadgate
The Zetter Townhouse Marylebone,4.5,£££,Marylebone,12,Hotels
Portobello Gold,3.5,££,Notting Hill,34,PubsGuest HousesBritish
Travelodge Hotel,,,Morden,,HotelsMorden
Dolphin Square Hotel,4,£££,Pimlico,7,Hotels
Grand Royale Hotel,2,£££,Bayswater,8,Hotels
Hotel Café Royal,4.5,£££,Soho,67,HotelsCafesBars
The Westbridge Hotel,4,£,Stratford,4,Hotels
Vintry & Mercer,5,,The City,2,HotelsThe City
The Curtain,4.5,££,Liverpool Street / Broadgate,8,Hotels
"The Lost Unicorn Hotel, Tsagarada, Pelion",,,Strand,,HotelsStrand
Hilton London Kensington,3,££,Holland Park,64,Hotels
Wyndham Grand London Chelsea Harbour,4.5,££££,West Brompton,13,HotelsDay Spas
Peckham Rooms Hotel,,,Peckham,,HotelsPeckham
Knightsbridge Hotel,4.5,£££,Chelsea,8,Hotels
"Radisson Blu Edwardian Mercer Street Hotel, London",4,£££,Covent Garden,17,HotelsVenues & Event SpacesArts & Entertainment
DoubleTree by Hilton Hotel London - West End,3,££,Bloomsbury,41,Hotels
"The Westbury Mayfair, a Luxury Collection Hotel, London",3,£££,Mayfair,22,Hotels
The Tower Hotel,2.5,£££,St Katherines Dock,62,Hotels
DoubleTree By Hilton London Greenwich,4.5,££,Deptford,8,Hotels
Blue Orchid Rochester Hotel,3.5,££,Westminster,10,Hotels
Hilton London Angel Islington,3.5,££,Islington,28,Hotels
Oakley Hotel,3.5,££,Chelsea,3,HotelsBed & Breakfast
Jurys Clifton Ford Hotel,4,,Marylebone,2,HotelsMarylebone
DoubleTree By Hilton London Greenwich,4.5,££,Deptford,8,Hotels
Alhambra Hotel,4,££,Bloomsbury,19,HotelsBed & Breakfast
Premier Inn,3,,Dalston,2,HotelsDalston
Grand Residences by Marriott - Mayfair-London,4.5,££££,Mayfair,3,Hotels
The Academy Hotel,3.5,££,Bloomsbury,12,Hotels
Miller’s Hotel,5,£££,Bayswater,4,Hotels
Princess Hotel,5,££,Bloomsbury,3,HotelsBed & Breakfast
Millennium Hotel London Knightsbridge,3.5,£££,Chelsea,7,Hotels
Portobello Gold,3.5,££,Notting Hill,34,PubsGuest HousesBritish
Middle Eight,,,Covent Garden,,HotelsItalianBarsCovent Garden
